ID,y
0,92.0070495605
6,92.1690368652
7,76.645614624
9,76.2127685547
13,78.360244751
18,93.4044113159
24,92.979598999
25,92.9243392944
27,109.861244202
30,110.074890137
31,103.018066406
32,94.619682312
34,91.1638946533
36,94.6365280151
37,92.209312439
38,93.1936645508
39,93.3956451416
40,103.005371094
44,93.5466003418
47,91.7810745239
48,92.6329193115
49,92.4764938354
50,111.485778809
52,110.520957947
54,91.0194854736
60,92.5075378418
61,101.976921082
62,93.3511047363
66,93.2893066406
67,110.394676208
68,77.9883880615
70,109.028739929
74,110.520957947
75,92.4551773071
79,112.908439636
80,91.64503479
81,103.253974915
86,110.589500427
90,77.1661453247
92,109.449920654
100,102.316589355
102,92.5175094604
106,91.9280853271
107,109.783683777
108,90.6870346069
109,111.129867554
112,91.0981445312
116,91.354675293
118,91.8256988525
119,110.265220642
124,109.866279602
125,96.5825653076
127,115.175636292
128,90.6615142822
129,103.011062622
130,91.958732605
131,102.056625366
133,110.075683594
134,90.68775177
136,92.7416687012
139,101.76335907
141,92.1344909668
143,91.2930755615
145,110.101402283
146,110.142204285
147,76.448425293
150,90.553565979
151,109.704177856
152,93.9051971436
153,103.349990845
154,93.3632049561
158,111.006004333
159,91.5325393677
160,78.0981903076
161,92.080871582
164,105.875831604
165,92.428565979
166,110.142204285
168,110.609954834
169,94.5539855957
170,91.6935958862
171,117.570114136
173,92.939201355
174,102.186721802
175,92.6827774048
176,110.1043396
177,103.435173035
178,92.6366958618
184,93.0951843262
186,91.282371521
190,112.15675354
197,77.8701934814
200,115.931808472
202,92.398727417
203,110.24281311
207,110.987724304
208,92.5414581299
209,110.086151123
212,110.987724304
213,92.9842605591
214,110.485778809
215,91.5892868042
217,90.3427963257
218,91.7590026855
222,92.9576339722
223,111.164260864
224,110.797424316
225,92.6647796631
229,91.6088256836
232,109.624465942
233,91.783416748
234,110.126373291
237,102.497879028
239,94.095993042
240,109.913276672
241,92.236114502
246,92.5497665405
252,104.856307983
255,111.829177856
260,110.669250488
261,91.9110794067
263,102.525794983
264,91.8959197998
265,110.777793884
268,91.8652648926
269,110.778633118
270,92.0679397583
271,102.397460938
274,91.2830352783
277,92.1119613647
278,92.678527832
281,91.9538421631
282,110.019119263
284,91.666809082
286,90.3912887573
287,102.968154907
294,91.8479309082
295,109.772888184
300,102.592834473
301,101.859931946
302,92.8954772949
303,109.694717407
308,92.405708313
309,101.376350403
310,91.8393859863
312,92.6157913208
315,109.92124176
317,108.653610229
318,92.5067520142
319,110.95513916
320,92.4402313232
321,109.745658875
322,110.59261322
323,91.4842376709
325,92.9902496338
326,101.991035461
328,110.427856445
331,91.9547576904
332,109.92124176
333,110.063972473
334,92.6397247314
335,102.034469604
336,92.4504699707
341,101.118492126
342,91.8058853149
344,110.244880676
348,92.3245010376
351,111.708229065
355,92.8490753174
356,110.485580444
359,110.491882324
360,91.7862930298
361,109.831520081
363,90.8219985962
369,102.196937561
371,92.2546081543
372,112.459854126
374,102.67073822
375,91.1862945557
376,110.62286377
379,92.3987884521
380,102.543167114
381,92.6842727661
383,93.1726379395
385,76.9889068604
386,90.629989624
387,110.609886169
388,92.6438217163
389,103.04763031
391,92.4900588989
394,119.903427124
397,92.6523132324
398,101.162788391
400,92.4012145996
401,110.331451416
402,91.9723892212
403,110.710845947
404,92.7138671875
405,91.3732757568
407,91.3856124878
411,92.369972229
414,110.425285339
415,91.9005813599
